description,treatment_protocol_ch1,treatment_protocol_ch2,extract_protocol_ch1,extract_protocol_ch2
total RNA (ribosomal RNA removed);	0.1_2Gy_4h_C_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0.1_2Gy_8h_A_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0.1_2Gy_8h_B_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0.1_2Gy_8h_C_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_1h_A_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_1h_B_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_1h_C_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_2h_A_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_2h_B_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_4h_A_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_4h_B_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_4h_C_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_8h_A_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_8h_B_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
total RNA (ribosomal RNA removed);	0_2Gy_8h_C_(HuGene-1_0-st-v1).CEL,Cells were exposed to a challenging dose of 2 Gy of X-rays (160 kVp) 4 hours after receiving a sham exposure (0 Gy) or an adaptive dose of 0.1 Gy.,,Extraction of total RNA was performed according to the manufacturer's instructions. An initial step to remove ribosomal RNA was used to minimize background and to increase detection sensitivity and specificity.  Ribosomal RNA subtraction was conducted using a protocol that was modified by Affymetrix for the RiboMinus Transcriptome Kit (Invitrogen).,
,No treatment was done with either CD8+ in vitro-derived cells or thymocytes.,No treatment was done with either CD8+ in vitro-derived cells or thymocytes.,Total RNA extracted using Trizol following manufacturer's instructions,Total RNA extracted using Trizol following manufacturer's instructions
,No treatment was done with either CD8+ in vitro-derived cells or thymocytes.,No treatment was done with either CD8+ in vitro-derived cells or thymocytes.,Total RNA extracted using Trizol following manufacturer's instructions,Total RNA extracted using Trizol following manufacturer's instructions
,No treatment was done with either CD8+ in vitro-derived cells or thymocytes.,No treatment was done with either CD8+ in vitro-derived cells or thymocytes.,Total RNA extracted using Trizol following manufacturer's instructions,Total RNA extracted using Trizol following manufacturer's instructions
,No treatment was done with either CD8+ in vitro-derived cells or thymocytes.,No treatment was done with either CD8+ in vitro-derived cells or thymocytes.,Total RNA extracted using Trizol following manufacturer's instructions,Total RNA extracted using Trizol following manufacturer's instructions
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
Antibody in CSF.;	We used a CAMAG Automatic TLC Sampler (ATS4) robot to spray 200nl of 10 to 100 pmol of lipids onto PVDF membranes affixed to the surface of microscope slides.,,,All human CSF samples were collected by lumbar puncture and used under protocols approved by the Institutional Review Boards of the Karolinska Institute and Stanford University.,
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
n/a,n/a,,"Total RNA was isolated from samples using Plant RNA Reagent (Invitrogen, California, USA), according to the manufacturer’s instruction. RNA was further purified through a Qiagen RNeasy column (Qiagen, Australia) after pre-treatment with RNase-free DNase I",
Biological replicate 1 of 4. Compression xylem vs. opposite xylem,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,"Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116","Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116"
Biological replicate 2 of 4. Compression xylem vs. opposite xylem,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,"Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116","Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116"
Biological replicate 3 of 4. Compression xylem vs. opposite xylem,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,"Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116","Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116"
Biological replicate 4 of 4. Compression xylem vs. opposite xylem,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,"Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116","Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116"
Biological replicate 1 of 4. Dye-Swap. Opposite xylem vs. compression xylem,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,"Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116","Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116"
Biological replicate 2 of 4. Dye-Swap. Opposite xylem vs. compression xylem,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,"Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116","Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116"
Biological replicate 3 of 4. Dye-Swap. Opposite xylem vs. compression xylem,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,"Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116","Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116"
Biological replicate 4 of 4. Dye-Swap. Opposite xylem vs. compression xylem,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,Compression wood was induced by bending the stem at an angle of 45° away from the vertical during two months.,"Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116","Total RNA was isolated following the method of Chang S et al. Plant Mol Biol Rep 1993, 11:113–116"
M5311-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F4666-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F4656-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F4656-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5302-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5311-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F4630-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5302-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5286-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5302-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5239-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5260-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5239-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5277-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M4679-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5284-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M4640-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5239-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5277-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M4657-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5235-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M4607-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5235-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5221-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5235-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5310-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M4646-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5252-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5282-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F4666-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5221-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F4620-liver-Uninfected,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5252-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
F5243-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5250-liver-Chronic,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
M5306-liver-Resolved,,,"Total RNA was isolated from liver tissues using the QIAamp RNA Blood Mini Kit (Qiagen Inc., Valencia, CA). 10 μg of total RNA isolated were reverse-transcribed using SuperScript double-stranded cDNA synthesis kit (Invitrogen, Inc., Calsbad, CA).",
